,category,text
10,entertainment,berlin cheer anti nazi film german movi anti nazi resist heroin drawn loud applaus berlin film festiv sophi scholl final day portray final day member white rise movement scholl arrest behead brother han distribut leaflet condemn abhorr tyranni adolf hitler director marc rothemund say feel respons keep legaci scholl go must somehow keep idea aliv ad film drew transcript gestapo interrog scholl trial preserv archiv communist east germani secret polic discoveri inspir behind film rothemund work close surviv rel includ one scholl sister ensur histor accuraci film scholl member white rise resist group first start distribut anti nazi leaflet summer arrest drop leaflet munich univers call day reckon adolf hitler regim film focus six day scholl arrest intens trial saw scholl initi deni charg end defiant appear one three german film vy top prize festiv south african film version bizet tragic opera carmen shot cape town xhosa languag also premier berlin festiv film entitl u carmen ekhayelitsha carmen khayelitsha township stori set perform strong music theatr troup debut film perform film first south african featur year second nomin golden bear award
11,business,virgin blue share plummet share australian budget airlin virgin blue plung warn steep fall full year profit virgin blue say profit tax year march would low previou year sluggish demand report previous novemb decemb continu say virgin blue chief execut brett godfrey virgin blue own richard branson struggl fend pressur rival jetstar cut full year passeng number forecast approxim virgin blue report fall first quarter profit august due tough competit novemb first half profit due slack demand rise fuel cost virgin blue launch four year ago roughli one third australia domest airlin market nation carrier qanta fought back budget airlin jetstar take sky may sydney list virgin blue share recov slightli close wednesday share major sharehold patrick corpor own virgin blue drop close
12,business,crude oil price back cold weather across part unit state much europ push u crude oil price barrel first time almost three month freez temperatur heavi snowfal increas demand heat fuel u stock low fresh fall valu dollar help carri price mark first time sinc novemb barrel u crude oil close new york tuesday opec member say tuesday saw reason cut output although last year peak barrel reach octob price well averag brent crude also rise london trade ad close much western europ north east america shiver unseason low temperatur recent day declin u dollar five week low euro also serv inflat price dollar move sharpli overnight oil follow say chri fur senior market strategist cast dollar continu weaken oil obvious high sever opec member say cut product unlik cite rise price strong demand oil asia agre need cut suppli price much fathi bin shatwan libya oil minist told reuter think need cut unless price fall barrel ad opec close watch global stock ensur excess suppli market arriv spring northern hemispher focu attent stockpil u crude gasolin high time last year heavi stockpil could help forc price low demand ea
13,politics,hagu give pm ambit former conserv leader william hagu say stand leadership give ambit prime minist mr hagu told daili telegraph would find life domin polit bore unfulfil mr hagu step parti elect defeat rule return front bench also told paper hope remain mp richmond north york start famili wife ffion mr hagu recent publish biographi william pitt young also say want continu write book speech write told newspap know whether ever go back front rush ask would stand leadership mr hagu repli definit determin stay away central role disappoint senior conserv member say parti need tim collin shadow educ secretari say last week would huge boost parti mr hagu return front bench mr hagu becam mp leader opposit say feel fortun age cram entir polit career cabinet leader parti branch thing liber feel mr hagu ad may misjudg ambit prime minist mayb driven polit thought say
14,sport,moya emot davi cup win carlo moya describ spain davi cup victori highlight career beat andi roddick end usa challeng sevil moya make miss spain victori injuri beat roddick give host unassail lead woken mani night dream day say moya energi focus today live today think live spain davi cup titl come two year ago valencia beat australia moya nicknam charli admit davi cup dream bit nervou outset peopl say ob think well way help reach goal ob realli incred get win point realli someth spanish captain jordi arres say charli play great game opportun let u lose three time roddick day beat wait year posit spain victori also remark perform rafael nadal beat roddick open singl age year day mallorcan becam young player win davi cup great way finish year say nadal afterward u coach patrick mcenro want roddick rest team play tenni clay hone skill surfac think help guy even slow hard court learn mix thing littl bit play littl bit smarter tactic well obvious unrealist say go start play constantli clay schedul certainli think put work appropri time play coupl event play guy best stuff say mcenro roddick left frustrat lose singl slow clay sevil olymp stadium tough felt like whole time one top three clay courter world say american chanc convert bottom line well u weekend come take care busi beat u simpl
15,business,korean credit card firm rescu south korea large credit card firm avert liquid follow one trillion m £m bail lg card threaten collaps huge debt firm creditor former parent step rescu consortium creditor lg group famili own conglomer put m stabilis firm lg card seven million custom collaps would sent shockwav countri economi firm creditor lg card tri agre deal secur futur sever week take control compani januari avoid bankruptci bn bail threaten delist compani move would trigger massiv debt redempt forc compani bankruptci unless agreement reach futur fund lg card need financi aid laah chong gyu execut director korea develop bank one firm creditor say agreement see trillion debt convert equiti purpos capit inject avoid delist goal met david kim analyst sejong secur told reuter south korea consum credit market slowli recov crisi credit bubbl burst million consum fell behind debt repay lg card return profit septemb need capit avoid thrown market south korea stock exchang delist firm debt exce asset two year run
16,politics,howard back stem cell research michael howard back stem cell research say import peopl frighten futur controversi issu featur recent u presidenti elect georg bush oppos extend torus leader argu moral case embrac scienc could help victim alzheim parkinson motor neuron diseas believ duti offer hope million peopl suffer devast ill say use embryon stem cell uk alreadi allow stem cell master cell abil develop bodi tissu type scientist hope grow cell laboratori programm form specif tissu kidney heart even brain tissu mr howard acknowledg genuin concern stem cell research argu frighten chang nostalg past must optimist futur politician must creat right framework great potenti scienc har benefit mankind life expect averag briton around mid s societi respons enhanc qualiti peopl live grow old know mani peopl concern stem cell research fear meddl see stuff soul respect concern also believ duti offer hope million peopl suffer devast ill like parkinson multipl sclerosi motor neuron diseas alzheim saw paper today possibl heart problem mr howard acknowledg easi answer issu necessari courag know moral right ad cours stem cell still recent discoveri research need do must look potenti respons grown way hope million peopl rest could achiev former superman actor late christoph reev advoc research paralys hors ride accid mr howard make remark speech westminst conserv nation woman committe ambit valu
17,sport,connor boost british tenni former world number one jimmi connor plan long term relationship lawn tenni associ help unearth next tim henman american spent three day lta annual elit perform winter camp la manga earlier week britain right attitud say connor involv lta well short term arrang confus kid ask lta chief execut john crowther ad relationship jimmi alreadi start develop coach player say u like want use jimmi number week year hope begin good long term relationship camp play host lead senior junior player includ greg rusedski arvind parmar ann keothavong la manga amaz site take bunch kid want best say connor speak queen club london impress coach way kid go workout feel put everi practic interest see kid desir passion brought coach surround instil import work practic someth buy know give give back effort everi minut practic speak la manga lta perform director david felgat told bbc sport jimmi fantast player coach humbl consid achiev work coach hope grow get individu relationship player get know make clear word go want short term week year job life passion coach respect want involv real input would stake reput someth go success connor also agre comment bbc next year wimbledon championship work second week tournament
18,business,japanes bank battl end japan sumitomo mitsui financi withdrawn takeov offer rival bank ufj hold enabl latter merg mitsubishi tokyo sumitomo bos told counterpart ufj decis friday clear way conclud trillion yen bn deal mitsubishi deal would creat world big bank asset trillion yen trillion sumitomo exit end high profil fight japanes bank histori ufj hold japan fourth large bank centr fierc bid battl last year sumitomo japan third large bank tabl high offer ufj rival valu compani bn howev ufj manag know prefer offer mitsubishi tokyo financi group mtfg japan second large bank concern also rais sumitomo abil absorb ufj former admit defeat believ market investor accept ufj mtfg merger sumitomo say statement give ongo integr ufj mtfg oper persist propos may best interest sharehold ufj mitsubishi takeov ufj japan large ever takeov deal still approv sharehold two firm howev expect formal sumitomo may turn attent deepen tie daiwa secur anoth japanes financi firm two set merg ventur capit oper specul could lead full blown merger japanes bank increasingli seek allianc boost profit
19,tech,game maker fight surviv one britain large independ game maker argonaut game put sale london base compani behind harri potter game sack employe due sever cash crisi administr told bbc news onlin sell argonaut way save run cash argonaut warn low cash day ago share suspend trade london stock exchang argonaut make game year one large independ game develop uk along headquart north london oper studio cambridg sheffield argonaut behind harri potter game provid healthi flow cash compani like softwar develop argonaut need constant flow deal publish sign troubl emerg august warn head loss £m financi year due delay sign new contract game new deal delay lead argonaut warn mid octob run cash suspend trade share london stock exchang part cost cut measur employe fire news £m loss come knew go redund say jason parkinson one game develop sack argonaut lot peopl suspect argonaut troubl time told bbc news onlin mr parkinson say staff told job loss necessari save argonaut go start year compani employ peopl late round cut staff argonaut headquart edgwar north london morphem offic kentish town london add monster base cambridg argonaut call administr david rubin partner friday find way rescu compani collaps spent weekend go compani financ conclud way save busi put sale administr told bbc news onlin cost restructu would high partli overhead compani four premis across uk say hope could save job sell busi say express interest sever quarter look quick sale administr say would ensur staff make redund would receiv wage redund holiday pay due hope christma
20,tech,secur warn fbi viru u feder bureau investig warn comput viru spread via e mail purport fbi e mail show come fbi gov address tell recipi access illeg websit messag warn internet use monitor fbi internet fraud complaint center attach e mail contain viru fbi say messag ask recipi click attach answer question internet use rather questionnair attach contain viru infect recipi comput accord agenc clear viru infect comput user warn never open attach unsolicit e mail peopl know recipi similar solicit know fbi engag practic send unsolicit e mail public manner fbi say statement bureau investig phoney e mail agenc earlier month shut fbi gov account use commun public secur breach spokeswoman say two incid appear unrel
21,tech,halo herald traffic explos grow popular onlin game could spell problem net servic firm warn network monitor compani sandvin issu warn follow analysi show traffic xbox game network increas fourfold launch day halo novemb traffic explos continu decemb say sandvin servic provid need make sure network cope increas demand bandwidth well popular singl player titl halo connect microsoft subscript base broadband network xbox live gamer want play onlin creat clan team take other see well compar surg number huge demand bandwidth wake call industri must ensur network cope increas traffic say sandvin chief technolog offic marc morin bid cope ea congest provid increasingli make network intellig find use bandwidth could becom common charg peopl amount bandwidth use explos xbox live traffic attribut halo see clarion call say isp need enhanc broadband experi high end user prioritis reserv bandwidth game ad one main factor spoil onlin game lag notic delay gamer click mous keyboard happen onlin game world gamer tend migrat toward network low lag analys traffic becom increasingli import servic provid hold bandwidth hungri gamer say lindsay schroth analyst research firm yanke group competit broadband environ oper need differenti way offer access servic like live play game say countri korea high level fast net connect home onlin game huge popular
22,sport,bate seal takeov ken bate complet takeov leed unit year old former chelsea chairman seal deal gmt friday bought stake club say delight step mantel fantast club recognis leed great club fall hard time lot hard work ahead get club back belong premiership help fan everyth bate bought stake gui geneva base compani know forward sport fund reveal part plan buy back leed elland road stadium thorp arch train ground due cours go tough jon first task stabilis cash flow sort remain creditor bate ad light end long tunnel past year matter firefight start run club outgo leed chairman gerald krasner say deal ensur medium long term surviv club believ mr bate propos total benefit club content mr bate leed unit continu consolid move forward take leed unit march club debt £m sinc date board succeed reduc debt £m work tirelessli solv problem leed unit eighti percent problem alreadi overcom come agreement mr bate secur ongo success krasner reveal consortium ask remain background club undisclos period help ensur smooth hand stay unpaid capac peter lorim continu role director point contact fan peter mccormick serv consult incom board outgo director agre leav loan £ m compani next four year leed new look board understood lorim join former chelsea financ director yvonn todd bate lawyer mark taylor krasner refus give detail financ involv takeov told bbc five live go figur ken want give tell money use dea l money current board last four month never saw chequ week one person stretch figur discus intern arrang bate step chelsea chairman march last year follow roman abramovich £m takeov stamford bridg may make propos invest £m sheffield wednesday reject club sebastien sainsburi close takeov leed withdrew £m offer last week effort fail reveal would take £m stage takeov club also lose £m next six month club brink administr deduct point footbal leagu bate arriv invest spare prospect
23,sport,cole face lengthi injuri lay aston villa carlton cole could six week knee injuri striker season long loan chelsea pick knock england match holland earlier month carlton action four six week bad challeng say villa bos david leari abl tell whether need oper mayb next week whether oper get left chelsea cole also struggl ankl problem earlier season unabl rest leari shortag striker return fit dariu vassel four month broken ankl emerg luke moor allevi villa manag problem depart
24,tech,mobil audio enter new dimens mobil phone move closer ubiquit one medium player audio becom ever import good sound small devic sound buzz bee jump left right disappear around back head surround sound demo unremark heard multi speaker home cinema system startl emerg small mobil phone british firm sonapt one number compani develop d audio technolog emerg stereo speaker firm amd sr offer stereo widen technolog mobil phone sonapt manag director david monteith say firm compani offer posit d audio mobil quit basic technolog make sound seem bit big headphon bit nicer one realli tri make proper d posit audio individu channel move around sonapt work japanes mobil network ntt docomo set standard d audio mobil phone last month handset nec fujitsu mitsubishi releas japanes marker chip produc yamaha rohm sonapt technolog technolog around pc game consol time make effici go small consum devic like mobil phone say mr monteith technolog work appli scienc psychoacoust grow medic research do compani research director dr alastair sibbald basic tri fool ear think sound come area actual brain use certain bit inform effect synthesis mobil phone handset structur ear work d encod sound help brain understand sound eman sonapt audio process algorithm mimic d encod give impress sound come left right behind listen fact come singl sourc mr montieth say sound one side get one ear right bend around head get left ear shape ear caus differ sound one ear synthesis differ sonapt hope technolog big impact grow market mobil game music download handheld often limit screen small definit want get impact medium run either movi game watch tv want immers technolog help fish game first titl use technolog creat d sound field gamer play drive game shoot em up use technolog develop technolog also use music give song much expans immers feel sonapt offer technolog chip softwar releas new version significantli improv effici audio process import use processor otherwis abl play game handset explain mr montieth compani look u european market work network vodafon focus first japan advanc mobil phone market knew japan would first place handset could use technolog handset uk next six month
25,sport,moya fight back indian titl carlo moya becam first man success defend chennai open titl beat four time finalist paradorn srichaphan spaniard donat £ prize money relief effort victim asian tsunami final close throughout thai second seed srichaphan winner close first set moya take second set bounc back decid forc win tie break moya confirm afterward donat prize money tournament tsunami victim hope make differ live contribut follow pledg four player donat prize money tournament go ahead decemb disast far claim least live scrichapan say would donat unspecifi amount relief work thailand peopl kill atp announc would contribut u tournament fee unicef emerg relief fund tamil nadu atp tour sponsor merced say would also contribut increas atp donat u
26,entertainment,career honour actor dicaprio actor leonardo dicaprio except career honour santa barbara intern film festiv star present award martin scorses direct oscar nomin movi aviat lifetim achiev award complet utterli surreal give year old dicaprio say almost year do quit film retrospect movi show realli excit realli love ad want rest life dicaprio begin movi career horror film critter move onto role basketbal diari romeo juliet titan gang new york achiev award creat commemor california festiv th anniversari coincid dicaprio portray millionair howard hugh aviat veteran actress jane russel star hugh film outlaw say impress dicaprio quest authent previous discus role happi dicaprio come care come find hugh realli like say aviat take pole posit year oscar race nomin includ nomin best film best actor dicaprio best director scorses
27,tech,mobil gig aim rock g forget go crowd bar enjoy gig late darl music press could also live gig mobil via late third gener g video phone rock outfit rooster play bill first ever concert broadcast phone tuesday even london venu minut gig due phone cast g mobil phone oper g technolog let peopl take watch send video clip phone well swap data much faster g network like gsm peopl g phone uk alreadi download footbal music clip handset fan london base band pay five pound ticket need g handset paid come go much like expect custom mobil say spokesperson belinda henderson like go concert hall except virtual compani behind trial hope learn peopl use video phone look long peopl stay averag stream peopl may stay whole time may dip say m henderson actual expect peopl dip mobil thing look music way persuad peopl take late video phone alreadi plan regular gig throughout intermiss cours would still abl make phone call
28,politics,terror suspect face hous arrest uk citizen suspect involv terror could face hous arrest part seri new measur outlin home secretari come law lord rule detent foreign terror suspect without trial breach human right charl clark plan control order mean anyon suspect involv terror could subject hous arrest curfew tag law societi dub mr clark new propos abus power deal alreadi sought deport foreign detaine mainli held belmarsh prison london current law introduc u terror attack septemb mr clark say effort would continu deport countri origin algeria tunisia egypt jordan without face tortur death propos chang prompt hous lord rule home secretari could order british citizen foreign suspect could deport face hous arrest measur restrict movement limit use telephon internet british citizen includ chang law lord say current power discriminatori could use foreign suspect mr clark also say intellig report show british nation play signific role terror threat human right lawyer clive stafford smith say plan abus human right britain mr clark say prosecut govern first prefer promis power would use seriou case independ scrutini judg told mp remain public emerg threaten life nation accept law lord rule argu detent power help prevent attack deter terrorist current detaine would freed new power place still consid nation secur threat told mp call rule wire tap intercept evid allow use court mr clark refus back chang say intercept evid small part case men could use could put sourc live risk terror suspect held indefinit belmarsh prison london conserv shadow home secretari david davi worri extend special power cover british citizen warn throughout histori intern gener backfir resent creat unless process clearli home secretari could find confin one know terrorist recruit unknown terrorist suggest chang law let secur clear judg view evid gather phone tap could allow terror case come court liber democrat spokesman mark oaten also back use wire tap evid say standard proof new power would high inde ask whether minist look measur fit human right law shami chakrabarti human right group liberti join call intercept evid allow trial say adher rule law game cat mous govern swap one human right opt anoth
29,entertainment,halloween writer debra hill die screenwrit produc debra hill best know work s horror classic halloween die lo angel age hill suffer cancer co write film star jami lee curti babysitt terroris psychopath direct john carpent make m £ m worldwid record independ film time hill also work carpent escap new york fog born new jersey hill begin career product assist work way rank becom assist director second unit director begin collabor carpent regard mani pioneer woman film take job s commonli take men back start woman industri say assum make hair person script person never assum writer produc take look around realis mani woman carv nich carpent say work hill one great experi life ground trailblaz begin follow anyon incred capabl talent say carpent hill collabor number halloween sequel includ halloween ii halloween resurrect halloween cur michael myer later career hill form product compani friend lynda obst make string hit film includ oscar nomine fisher king teen comedi adventur babysit film includ stephen king adapt dead zone clue comedi base board game cluedo s pursu work tv although reunit carpent escap la sequel escap new york time death work film last two men pull rubbl twin tower follow septemb terror attack also co produc remak fog due releas earli next year
30,politics,royal coupl watch nation mood princ charl camilla parker bowl await nation reaction announc marri april mr parker bowl take titl hrh duchess cornwal civil ceremoni held windsor castl daili telegraph poll peopl suggest two third briton support coupl decis marri think mr parker bowl becom princess consort plan charl becom king believ titl think becom queen poll also found major briton would prefer monarchi miss gener queen hand throne grandson princ william death abdic thursday night princ charl mr parker bowl host dinner windsor castl first public appear sinc announc engag mr parker bowl say princ go one knee propos ad come earth display diamond engag ring royal famili heirloom report charl say wife absolut delight marriag end year specul relationship date back queen duke edinburgh say news make happi princ william harri say happi wish coupl luck futur wed civil ceremoni follow servic prayer dedic st georg chapel archbishop canterburi dr rowan william presid marriag like sensit issu mr parker bowl divorc former husband still aliv becam king charl would suprem governor church england anglican remain oppos remarriag divorce divorc diana disappoint countri felt diana treat open sen disillusion princ charl say ro coward write authoris biographi diana princess wale archbishop canterburi say plea princ charl mr camilla parker bowl decid take import step toni blair say delight coupl offer congratul conserv leader michael howard liber democrat leader charl kennedi australia prime minist john howard also offer congratul ad decis marri sensibl good thing mr parker bowl join princ numer engag recent year mostli even event princ trust clarenc hous staff pain point attend event privat capac
31,tech,firefox browser take microsoft microsoft internet explor seriou rival long await firefox web browser releas peopl get excit new softwar releas especi program game music movi player releas first full version firefox manag drum respect amount pre launch fervour fan softwar band togeth rais cash pay advert new york time announc version browser avail releas firefox novemb might even caus head turn microsoft program steadili win peopl away softwar giant internet explor browser firefox creat mozilla foundat start former browser maker netscap back much develop work do sinc go firefox make first appear name februari earlier incarn core technolog call phoenix firebird sinc softwar gain prais convert least larg number secur problem come light microsoft internet explor rival ie get boost late june two u comput secur organis warn peopl avoid microsoft program avoid fall victim seriou vulner internet monitor firm websidestori chart grow popul peopl use firefox browser say respons slowli erod stranglehold ie juli year accord websidestori internet explor use web surfer figur remain static year juli ie use popul drop end octob stood mozilla foundat claim firefox download almost eight million time publicli say would happi garner window use net brow popul firefox prove popular moment far few secur hole internet explor innov lack microsoft program instanc firefox allow page differ websit arrang tab user switch easili block pop up neat way find text page let search page brow one power featur firefox mani hundr extra extens produc mozilla foundat open sourc organis mean creator browser happi other play around core code program result mani differ add on extens browser includ everyth version familiar googl toolbar homeland secur monitor keep user awar current threat level firefox use call firebird phoenix also grow number vocal net base fan campaign co ordin spread firefox websit attempt rais need full page advert new york time campaign set target recruit volunt ten day campaign peopl sign rais ad due run sometim three week period late novemb earli decemb surplu cash use help keep mozilla foundat run microsoft face grow challeng ie hold web use popul altern browser opera safari amaya even netscap
32,entertainment,celebr get skate former england footbal paul gascoign join eastend actress scarlett johnson bbc one strictli ice danc one christma special also star televis present carol smilli jessica taylor liberti x celebr pair profession skater impress panel judg win audienc vote bbc yet confirm final two star battl becom ice king queen veteran present bruce forsyth te dali host programm follow hot heel current saturday night seri strictli come danc celebr practis stipul ice danc perform ice rink partner judg vote decid win contest ice rink audienc make rest vote show form part bbc festiv schedul ice skate duo jayn torvil christoph dean front similar celebr ice danc show itv titl star thin ice contest star thin ice pair profession skater learn new routin everi week end seri one celebr crown winner
33,entertainment,show mtv osbourn rock star ozzi osbourn say famili make episod realiti tv show osbourn end like camera around hous time black sabbath singer told report mtv europ award rome wife sharon also appear popular mtv show base osbourn famili life agre everybodi realiti show do get someth el say ozzi osbourn say enough work involv make seri watch minut episod film day say sharon osbourn current appear judg mentor itv talent show x factor alongsid simon cowel loui walsh earlier year top poll import peopl rock part guid career husband ozzi famili drive forc behind osbourn ran three seri earn famili report m £m renew popular ozzi see sale merchandis hit m £ m mark record heavi metal artist sale shirt accessori action figur rocket sinc osbourn hit screen peak osbourn regular audienc eight million america tv guid magazin describ seri cross simpson spinal tap osbourn loss explain popular suppos american get kick watch crazi brit famili like u make complet fool everi week
